Дата,Период,Факт,Прогноз,Пред,Ед. изм.
04.05.2016,,0.536,-0.144,1.608,млн барр.
11.05.2016,,-1.231,-0.710,0.536,млн барр.
18.05.2016,,-2.496,-0.150,-1.231,млн барр.
25.05.2016,,2.043,-1.067,-2.496,млн барр.
02.06.2016,,0.05,,-0.131,млн барр.
08.06.2016,,0.206,,0.050,млн барр.
15.06.2016,,-0.415,,0.206,млн барр.
22.06.2016,,0.582,,-0.415,млн барр.
29.06.2016,,-0.330,,0.582,млн барр.
07.07.2016,,0.059,,-0.330,млн барр.
13.07.2016,,1.213,-0.432,-0.122,млн барр.
20.07.2016,,-0.168,,0.200,млн барр.
27.07.2016,,0.018,,-0.168,млн барр.
03.08.2016,,-0.076,,0.018,млн барр.
10.08.2016,,0.106,,-0.076,млн барр.
17.08.2016,,0.182,,0.106,млн барр.
24.08.2016,,-0.245,,0.182,млн барр.
31.08.2016,,-0.014,,-0.245,млн барр.
08.09.2016,,0.152,,-0.014,млн барр.
14.09.2016,,-0.273,,0.152,млн барр.
21.09.2016,,0.183,,-0.273,млн барр.
28.09.2016,,-0.528,,0.183,млн барр.
05.10.2016,,0.433,,-0.528,млн барр.
13.10.2016,,-0.053,,0.433,млн барр.
19.10.2016,,-0.437,,-0.053,млн барр.
26.10.2016,,0.339,,-0.437,млн барр.
02.11.2016,,-0.013,,0.339,млн барр.
09.11.2016,,0.632,,-0.013,млн барр.
16.11.2016,,-0.304,,0.632,млн барр.
23.11.2016,,-0.452,,-0.304,млн барр.
30.11.2016,,0.286,,-0.452,млн барр.
07.12.2016,,3.425,1.948,2.097,млн барр.
