Δΰςΰ,Οεπθξδ,Τΰκς,Οπξγνξη,Οπεδ,Εδ. θημ.,,values
04.06.2012,ΐοπ ' 12,-0.6 ,0.2,-1.9,%,-0.6 ,-0.6
03.07.2012,Μΰι ' 12,0.7 ,0.2,-0.6,%,0.7 ,0.7
02.08.2012,Θών ' 12,-0.5 ,0.5,0.7,%,-0.5 ,-0.5
31.08.2012,Θώλ ' 12,2.8 ,1.9,-0.5,%,2.8 ,2.8
04.10.2012,ΐβγ ' 12,-5.2 ,-5.8,2.8,%,-5.2 ,-5.2
02.11.2012,Ρεν ' 12,4.8 ,4.6,-5.2,%,4.8 ,4.8
05.12.2012,Ξκς ' 12,0.8 ,0,4.8,%,0.8 ,0.8
04.01.2013,Νξÿ ' 12,0.0 ,0.4,0.8,%,0.0 ,0
04.02.2013,Δεκ ' 12,1.8 ,2.2,0,%,1.8 ,1.8
06.03.2013,ίνβ ' 13,-2.0 ,-2.2,1.8,%,-2.0 ,-2
02.04.2013,Τεβ ' 13,3.0 ,2.9,-2,%,3.0 ,3
03.05.2013,Μΰπ ' 13,-4.0 ,-2.6,3,%,-4.0 ,-4
05.06.2013,ΐοπ ' 13,1.0 ,1.5,-4.9,%,1.0 ,1
02.07.2013,Μΰι ' 13,2.1 ,2,1,%,2.1 ,2.1
02.08.2013,Θών ' 13,1.5 ,2.3,2.1,%,1.5 ,1.5
05.09.2013,Θώλ ' 13,-2.4 ,-3.3,1.5,%,-2.4 ,-2.4
03.11.2013,ΐβγ ' 13,,0.3,-2.4,%,,0
04.11.2013,Ρεν ' 13,1.7 ,1.7,-0.1,%,1.7 ,1.7
05.12.2013,Ξκς ' 13,-0.9 ,-1,1.7,%,-0.9 ,-0.9
06.01.2014,Νξÿ ' 13,1.8 ,1.7,-0.9,%,1.8 ,1.8
04.02.2014,Δεκ ' 13,-1.5 ,-1.7,1.8,%,-1.5 ,-1.5
06.03.2014,ίνβ ' 14,-0.7 ,-0.4,-1.5,%,-0.7 ,-0.7
02.04.2014,Τεβ ' 14,1.6 ,1.2,-0.7,%,1.6 ,1.6
02.05.2014,Μΰπ ' 14,1.1 ,1.4,1.6,%,1.1 ,1.1
03.06.2014,ΐοπ ' 14,0.7 ,0.5,0.9,%,0.7 ,0.7
02.07.2014,Μΰι ' 14,-0.5 ,-0.3,0.7,%,-0.5 ,-0.5
05.08.2014,Θών ' 14,1.1 ,0.6,-0.5,%,1.1 ,1.1
03.09.2014,Θώλ ' 14,10.5 ,11,1.1,%,10.5 ,10.5
02.10.2014,ΐβγ ' 14,-10.1 ,-9.3,10.5,%,-10.1 ,-10.1
04.11.2014,Ρεν ' 14,-0.6 ,-0.6,-10.1,%,-0.6 ,-0.6
05.12.2014,Ξκς ' 14,-0.7 ,0,-0.6,%,-0.7 ,-0.7
06.01.2015,Νξÿ ' 14,-0.7 ,-0.5,-0.7,%,-0.7 ,-0.7
03.02.2015,Δεκ ' 14,-3.4 ,-2.2,-0.7,%,-3.4 ,-3.4
05.03.2015,ίνβ ' 15,-0.2 ,0.2,-3.4,%,-0.2 ,-0.2
02.04.2015,Τεβ ' 15,0.2 ,-0.5,-0.2,%,0.2 ,0.2
04.05.2015,Μΰπ ' 15,2.1 ,2,0.2,%,2.1 ,2.1
02.06.2015,ΐοπ ' 15,-0.4 ,0,2.1,%,-0.4 ,-0.4
02.07.2015,Μΰι ' 15,-1.0 ,-0.5,-0.4,%,-1.0 ,-1
04.08.2015,Θών ' 15,1.8 ,1.8,-1,%,1.8 ,1.8
02.09.2015,Θώλ ' 15,0.4 ,0.9,1.8,%,0.4 ,0.4
02.10.2015,ΐβγ ' 15,-1.7 ,-1.2,0.4,%,-1.7 ,-1.7
03.11.2015,Ρεν ' 15,-1.0 ,-0.9,-1.7,%,-1.0 ,-1
03.12.2015,Ξκς ' 15,1.5 ,1.4,-1,%,1.5 ,1.5
06.01.2016,Νξÿ ' 15,-0.2 ,-0.2,1.5,%,-0.2 ,-0.2
04.02.2016,Δεκ ' 15,-2.9 ,-2.8,-0.2,%,-2.9 ,-2.9
03.03.2016,ίνβ ' 16,1.6 ,2,-2.9,%,1.6 ,1.6
04.04.2016,Τεβ ' 16,-1.7 ,-1.7,1.6,%,-1.7 ,-1.7
04.05.2016,Μΰπ ' 16,1.1 ,0.6,-1.7,%,1.1 ,1.1
03.06.2016,ΐοπ ' 16,1.9 ,1.9,1.5,%,1.9 ,1.9
05.07.2016,Μΰι ' 16,-1.0 ,-0.9,1.9,%,-1.0 ,-1
04.08.2016,Θών ' 16,-1.5 ,-1.8,-1,%,-1.5 ,-1.5
02.09.2016,Θώλ ' 16,1.9 ,2,-1.5,%,1.9 ,1.9
05.10.2016,ΐβγ ' 16,0.2 ,-0.1,1.9,%,0.2 ,0.2
03.11.2016,Ρεν ' 16,0.3 ,0.2,0.2,%,0.3 ,0.3
06.12.2016,Ξκς ' 16,,2.2,0.3,%,,0
